Participant ID,Final Dot Difference,Num Of Trials,Choice of Human,Choice of Algorithm,Human Trials Changed to Algor,Algor Trials Changed to Human,Algor Default Trials Not Changed,Human Default Trials Not Changed,Block 4 Human Acc,Block 4 Algor Acc,Human Choice After Block 4,Algor Choice After Block 4,Advisor Changed,Left Box Chosen,Preference Strength,Max Cj,Min Cj,Cj Range,Num of Unique Cj Values,Advice Ignored Trials,Mean Cj Change,Cj1 Mean Resolution,Cj2 Mean Resolution,Mean Cj1 Accuracy,Mean Cj2 Accuracy,Sway of Human Advice,Sway of Algor Advice,Mean RT1,Mean RT2,Mean CTC,AccQuant1,AccQuant2,AccQuant3,AccQuant4,AdvQuant1,AdvQuant2,AdvQuant3,AdvQuant4,CjQuant1,CjQuant2,CjQuant3,CjQuant4,Mean Cj1,Mean Cj2,St Dev Cj1,St Dev Cj2,Human Agreed %,Algor Agreed %,Algor Agreed % Diff,Human Agreed Conf Diff,Algor Agreed Conf Diff,Human Disagreed Conf Diff,Algor Disagreed Conf Diff,Algor Relative Influence,dd Block 1 End,dd Block 2 End,Block 1 Accuracy,Block 2 Accuracy
5fbd433cb6d9240ba9c55548,15,240,0.519,0.481,0.075,0.1125,0.8875,0.925,0.771,0.64,0.492,0.508,0.09375,0.271,0.019,45,1,44,44,3,5.375,4.311,5.773,0.671,0.729,1.538,1.462,1.38,2.0,4.009,0.898,0.385,0.618,0.754,0.39,0.481,0.527,0.491,0.246,0.217,0.229,0.237,17.454,17.936,11.2,12.827,0.7,0.65,-0.05,0.222,1.6,-5.5,-6.929,2.806,15,15,0.667,0.6
5f4ff8efa8de8e14c2cd6e0b,15,240,0.531,0.469,0.4,0.4625,0.5375,0.6,0.793,0.839,0.55,0.45,0.43125,0.362,0.031,26,1,25,24,40,1.783,2.486,2.341,0.662,0.717,0.026,0.472,8.472,21.659,23.687,0.889,0.605,0.512,0.822,0.511,0.302,0.463,0.622,0.188,0.179,0.171,0.188,8.183,8.875,3.842,4.506,0.625,0.725,0.1,0.348,0.423,-0.467,0.6,-0.991,14,15,0.567,0.6
5fa547efe090751e68baced1,10,240,0.581,0.419,0.525,0.6875,0.3125,0.475,0.781,0.679,0.583,0.417,0.60625,0.521,0.081,42,4,38,38,33,6.708,2.045,2.57,0.696,0.729,1.167,0.974,1.905,1.902,3.921,0.847,0.545,0.607,0.746,0.271,0.564,0.589,0.305,0.246,0.229,0.233,0.246,18.638,22.756,7.925,11.568,0.625,0.75,0.125,-2.143,-1.357,0.2,0.1,0.886,12,10,0.667,0.767
5e35e1e5077089582bae3a34,11,240,0.444,0.556,0.6125,0.5,0.5,0.3875,0.615,0.676,0.467,0.533,0.55625,0.529,0.056,45,4,41,39,119,4.621,6.466,1.954,0.829,0.825,0.895,0.667,1.878,1.795,3.805,0.855,0.729,0.8,0.897,0.564,0.5,0.527,0.586,0.229,0.2,0.229,0.242,26.217,24.797,8.381,10.835,0.675,0.75,0.075,-1.32,-0.154,-0.077,2.8,-1.711,14,11,0.633,0.733
5ec839d3a4474212eeb466fd,10,240,0.881,0.119,0.05,0.8125,0.1875,0.95,0.652,0.714,0.867,0.133,0.43125,0.392,0.381,42,2,40,37,2,7.983,4.23,2.145,0.7,0.721,2.974,0.487,4.679,2.33,4.338,0.807,0.638,0.66,0.672,0.193,0.293,0.18,0.293,0.237,0.242,0.208,0.242,17.908,19.221,7.747,10.614,0.7,0.7,0.0,-3.556,0.259,-1.667,-2.167,4.315,14,10,0.6,0.767
5fb50f40340ae6117b78fa62,12,240,0.5,0.5,0.0,0.0,1.0,1.0,0.7,0.867,0.5,0.5,0.0,0.621,0.0,47,1,46,43,7,7.162,2.508,1.952,0.758,0.796,1.917,0.243,1.462,1.523,3.533,0.796,0.74,0.621,0.879,0.574,0.52,0.517,0.414,0.225,0.208,0.242,0.242,15.162,17.863,11.521,14.424,0.7,0.7,0.0,1.0,-1.96,4.0,4.833,-3.793,12,12,0.7,0.567
5f209bb12cf3543aed1fee25,14,240,0.731,0.269,0.3875,0.85,0.15,0.6125,0.742,0.621,0.792,0.208,0.61875,0.579,0.231,50,1,49,45,29,4.521,3.992,0.242,0.767,0.758,0.944,1.528,2.56,2.071,4.082,0.78,0.75,0.772,0.817,0.424,0.396,0.333,0.233,0.246,0.2,0.237,0.25,18.725,18.537,17.472,17.388,0.846,0.927,0.081,-0.067,-0.545,6.0,24.333,-18.812,12,14,0.633,0.6
5fa88ca41b1a9d747073bd27,14,240,0.5,0.5,0.0,0.0,1.0,1.0,0.667,0.733,0.5,0.5,0.0,0.371,0.0,50,6,44,35,71,1.767,10.286,11.125,0.675,0.667,0.95,0.1,3.05,1.692,3.7,0.783,0.618,0.604,0.709,0.417,0.545,0.604,0.491,0.25,0.229,0.221,0.229,36.092,36.775,7.729,8.613,0.575,0.6,0.025,-0.478,-0.25,-1.588,0.625,-1.985,10,14,0.7,0.567
5eef6be6d9005144df0e66cc,15,240,0.044,0.956,0.9375,0.025,0.975,0.0625,0.7,0.7,0.058,0.942,0.48125,0.417,0.456,45,1,44,40,11,8.458,0.831,1.521,0.771,0.775,2.703,1.818,1.3,1.459,3.468,0.932,0.609,0.625,0.914,0.847,0.761,0.839,0.741,0.246,0.192,0.233,0.242,14.592,19.241,10.951,12.449,0.854,0.821,-0.033,-1.032,-0.769,-11.333,-5.714,-5.356,15,15,0.7,0.667
5ee919ad2825f916bae687ae,15,240,0.631,0.369,0.3625,0.625,0.375,0.6375,0.68,0.857,0.725,0.275,0.49375,0.708,0.131,41,1,40,35,0,7.092,3.833,0.695,0.75,0.754,1.541,0.0,1.426,1.56,3.568,0.719,0.692,0.649,0.893,0.439,0.442,0.298,0.446,0.237,0.217,0.237,0.233,12.4,16.236,7.821,11.898,0.707,0.692,-0.015,-2.04,-2.32,9.0,5.273,3.447,15,15,0.567,0.5
5dc4b80162ec503817640faf,13,240,0.863,0.137,0.075,0.8,0.2,0.925,0.723,0.692,0.842,0.158,0.4375,0.479,0.363,19,1,18,15,109,1.017,1.058,1.325,0.608,0.692,1.031,0.919,2.74,2.493,4.512,0.771,0.627,0.565,0.596,0.125,0.216,0.326,0.298,0.2,0.212,0.192,0.196,3.825,3.221,2.975,2.916,0.9,0.9,0.0,-1.036,-1.0,-1.0,-0.25,-0.714,14,13,0.533,0.7
5d45dfff082935001aed2fe7,15,240,0.494,0.506,0.0125,0.0,1.0,0.9875,0.857,0.656,0.5,0.5,0.00625,0.221,0.006,32,7,25,25,18,4.346,8.072,5.489,0.633,0.717,1.081,1.9,0.828,0.785,2.79,0.855,0.552,0.641,0.6,0.473,0.534,0.538,0.52,0.229,0.242,0.163,0.208,17.825,16.974,4.729,6.089,0.744,0.854,0.11,-0.036,-2.343,-4.333,1.2,-7.84,15,15,0.367,0.6
5b22abb49997ca0001c600ae,15,240,0.5,0.5,0.175,0.175,0.825,0.825,0.657,0.64,0.467,0.533,0.175,0.475,0.0,44,1,43,35,21,4.625,0.7,1.819,0.692,0.717,0.658,0.059,1.275,1.271,3.276,0.776,0.655,0.581,0.788,0.569,0.455,0.488,0.462,0.242,0.229,0.179,0.217,10.879,12.224,8.267,9.655,0.81,0.789,-0.02,-0.7,-0.654,-0.5,2.375,-2.829,14,15,0.533,0.433
5c87a8183e93bf0001e1582c,14,240,0.55,0.45,0.0,0.1,0.9,1.0,0.625,0.571,0.542,0.458,0.05,0.467,0.05,50,7,43,43,10,9.004,0.361,0.912,0.862,0.871,0.757,2.632,3.11,2.615,4.629,0.93,0.81,0.719,1.0,0.491,0.414,0.526,0.433,0.237,0.242,0.237,0.25,25.504,31.241,11.825,14.545,0.8,0.675,-0.125,0.828,0.462,0.5,-9.333,9.467,14,14,0.667,0.567
5fce7885f324540ad64e2297,11,240,0.562,0.438,0.1,0.225,0.775,0.9,0.767,0.733,0.583,0.417,0.1625,0.167,0.062,35,18,17,16,79,1.1,9.608,5.239,0.604,0.608,0.079,0.263,2.196,2.741,4.758,0.8,0.583,0.595,0.564,0.5,0.458,0.429,0.455,0.208,0.1,0.175,0.229,26.221,26.464,2.926,3.343,0.7,0.725,0.025,0.222,0.571,-0.273,-0.6,0.676,8,11,0.833,0.667
5e9a166d196ab009eb34bcdd,15,240,0.5,0.5,0.0,0.0,1.0,1.0,0.759,0.677,0.5,0.5,0.0,0.338,0.0,41,1,40,29,4,5.962,3.324,2.011,0.633,0.729,2.359,1.103,2.169,4.903,6.924,0.81,0.51,0.455,0.741,0.586,0.627,0.273,0.5,0.242,0.212,0.183,0.225,12.529,12.07,6.393,9.076,0.692,0.683,-0.009,-0.148,0.192,-7.333,-3.692,-3.301,13,15,0.7,0.6
5ead79a0f43b4441309657c9,12,240,0.412,0.588,0.175,0.0,1.0,0.825,0.471,0.605,0.492,0.508,0.0875,0.517,0.088,50,1,49,44,2,10.212,2.24,3.657,0.729,0.792,0.135,3.667,1.556,1.431,3.444,0.864,0.681,0.526,0.857,0.475,0.681,0.596,0.5,0.246,0.196,0.237,0.233,19.533,25.031,12.128,15.429,0.6,0.725,0.125,0.81,-3.818,-0.75,-3.364,-2.014,13,12,0.533,0.7
5eeb8ae62af51132b7987743,10,240,0.906,0.094,0.05,0.8625,0.1375,0.95,0.732,0.632,0.95,0.05,0.45625,0.821,0.406,50,9,41,42,2,9.246,8.043,3.097,0.65,0.717,2.611,5.308,3.632,2.047,4.057,0.811,0.633,0.375,0.78,0.17,0.224,0.268,0.288,0.221,0.204,0.233,0.246,32.371,32.033,9.834,11.647,0.775,0.675,-0.1,-2.037,2.462,16.556,11.0,10.054,15,10,0.6,0.8
5e8529aa0a340d10f4af649e,9,240,0.569,0.431,0.4,0.5375,0.4625,0.6,0.522,0.649,0.65,0.35,0.46875,0.675,0.069,50,1,49,47,49,7.579,1.42,3.787,0.675,0.688,0.378,2.556,1.863,1.763,3.773,0.733,0.7,0.559,0.712,0.45,0.45,0.424,0.508,0.25,0.25,0.246,0.246,33.862,39.308,14.558,11.267,0.744,0.732,-0.012,-0.407,0.52,-0.3,7.182,-6.554,14,9,0.7,0.8
